Time_Period,Start,End,Length,Lane,,,,,,,,,,,,
Holocene,0.41,0.00,0.41,0,,,,,,,,,,,,
Pleistocene,2.59,0.41,2.18,0,,,,,,,,,,,,
Pliocene,5.33,2.59,2.74,0,,,,,,,,,,,,
Miocene,23.03,5.33,17.70,0,,,,,,,,,,,,
Oligocene,33.90,23.03,10.87,0,,,,,,,,,,,,
Eocene,55.80,33.90,21.90,0,,,,,,,,,,,,
Paleocene,65.50,55.80,9.70,0,,,,,,,,,,,,
Quaternary,2.59,0.00,2.59,1,,,,,,,,,,,,
Neogene,23.03,2.59,20.44,1,,,,,,,,,,,,
Paleogene,65.50,23.03,42.47,1,,,,,,,,,,,,
Cretaceous,145.50,65.50,80.00,1,,,,,,,,,,,,
Upper Cretaceous,99.60,65.50,34.10,0,,,,,,,,,,,,
Lower Cretaceous,145.50,99.60,45.90,0,,,,,,,,,,,,
Jurassic,199.60,145.50,54.10,1,,,,,,,,,,,,
Upper Jurassic,161.20,145.50,15.70,0,,,,,,,,,,,,
Middle Jurassic,175.60,161.20,14.40,0,,,,,,,,,,,,
Lower Jurassic,199.60,175.60,24.00,0,,,,,,,,,,,,
Triassic,251.00,199.60,51.40,1,,,,,,,,,,,,
Upper Triassic,228.70,199.60,29.10,0,,,,,,,,,,,,
Middle Triassic,245.90,228.70,17.20,0,,,,,,,,,,,,
Lower Triassic,251.00,245.90,5.10,0,,,,,,,,,,,,
Permian,299.00,251.00,48.00,1,,,,,,,,,,,,
Lopingian,260.40,251.00,9.40,0,,,,,,,,,,,,
Guadalupian,270.60,260.40,10.20,0,,,,,,,,,,,,
Cisuralian,299.00,270.60,28.40,0,,,,,,,,,,,,
Carboniferous,359.20,299.00,60.20,1,,,,,,,,,,,,
Pennsylcanian,318.10,299.00,19.10,0,,,,,,,,,,,,
Mississippian,359.20,318.10,41.10,0,,,,,,,,,,,,
Devonian,416.00,359.20,56.80,1,,,,,,,,,,,,
Upper Devonian,385.30,359.20,26.10,0,,,,,,,,,,,,
Middle Devonian,397.50,385.30,12.20,0,,,,,,,,,,,,
Lower Devonian,416.00,397.50,18.50,0,,,,,,,,,,,,
Silurian,443.70,416.00,27.70,1,,,,,,,,,,,,
Pridoli,418.70,416.00,2.70,0,,,,,,,,,,,,
Ludlow,422.90,418.70,4.20,0,,,,,,,,,,,,
Wenlock,428.20,422.90,5.30,0,,,,,,,,,,,,
Llandovery,443.70,428.20,15.50,0,,,,,,,,,,,,
Ordovician,488.30,443.70,44.60,1,,,,,,,,,,,,
Upper Ordovician,460.90,443.70,17.20,0,,,,,,,,,,,,
Middle Ordovician,471.80,460.90,10.90,0,,,,,,,,,,,,
Lower Ordovician,488.30,471.80,16.50,0,,,,,,,,,,,,
Camvrian,542.00,488.30,53.70,1,,,,,,,,,,,,
Furongian,499.00,488.30,10.70,0,,,,,,,,,,,,
Series 3,510.00,499.00,11.00,0,,,,,,,,,,,,
Series 2,521.00,510.00,11.00,0,,,,,,,,,,,,
Terreneuvian,542.00,521.00,21.00,0,,,,,,,,,,,,
Neoproterozpic,"1,000.00",542.00,458.00,1,,,,,,,,,,,,
Mesoproterozoic,"1,600.00","1,000.00",600.00,1,,,,,,,,,,,,
Paleoproterozoic,"2,500.00","1,600.00",900.00,1,,,,,,,,,,,,
Neoarchean,"2,800.00","2,500.00",300.00,1,,,,,,,,,,,,
Mesoarchean,"3,200.00","2,800.00",400.00,1,,,,,,,,,,,,
Paleoarchean,"3,600.00","3,200.00",400.00,1,,,,,,,,,,,,
Eoarchean,"4,000.00","3,600.00",400.00,1,,,,,,,,,,,,
Hadean,"4,600.00","4,000.00",600.00,2,,,,,,,,,,,,
Cenozoic,65.50,0.00,65.50,2,,,,,,,,,,,,
Mesozoic,251.00,65.50,185.50,2,,,,,,,,,,,,
Paleozoic,542.00,251.00,291.00,2,,,,,,,,Archean,"4,000.00","2,500.00","1,500.00",2
Proterozoic,"2,500.00",542.00,"1,958.00",2,,,,,,,,Phanerozoic,542.00,0.00,542.00,3
Archean,"4,000.00","2,500.00","1,500.00",2,,,,,,,,Precambrian,"4,600.00",542.00,"4,058.00",3
Phanerozoic,542.00,0.00,542.00,3,,,,,,,,,,,,
Precambrian,"4,600.00",542.00,"4,058.00",3,,,,,,,,,,,,
